task,model,format,file,error,error_message
character,falcon,json,99.txt,empty_response,Expecting property name enclosed in double quotes: line 15 column 27 (char 433)
character,falcon,xml,11.txt,key_completeness,The key 'game' is missing.
character,falcon,xml,33.txt,incorrect_syntax,"mismatched tag: line 10, column 28"
character,falcon,xml,39.txt,incorrect_syntax,"XML or text declaration not at start of entity: line 2, column 0"
character,falcon,xml,41.txt,key_completeness,The key 'game' is missing.
character,falcon,xml,53.txt,key_completeness,The key 'game' is missing.
character,falcon,xml,73.txt,key_completeness,The key 'game' is missing.
character,falcon,xml,77.txt,incorrect_syntax,"not well-formed (invalid token): line 22, column 0"
character,falcon,yaml,2.txt,key_completeness,The key 'game' is missing.
character,falcon,yaml,20.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 10, column 7:
          - eye_color: brown
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 14, column 7:
          place_of_birth: California
          ^"
character,falcon,yaml,23.txt,incorrect_syntax,"while scanning a block scalar
  in ""<unicode string>"", line 10, column 22:
            description: |bold|eye color
                         ^
expected chomping or indentation indicators, but found 'b'
  in ""<unicode string>"", line 10, column 23:
            description: |bold|eye color
                          ^"
character,falcon,yaml,33.txt,key_completeness,The root of the result is not a dictionary.
character,falcon,yaml,4.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 2, column 5:
    game:
        ^"
character,falcon,yaml,52.txt,key_completeness,The key 'game' is not a dictionary.
character,falcon,yaml,54.txt,key_completeness,The key 'game' is missing.
character,falcon,yaml,56.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 3, column 5:
        - name: <name of current character>
        ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 4, column 5:
        age: <age or age range>
        ^"
character,falcon,yaml,6.txt,key_completeness,The key 'game' is missing.
character,falcon,yaml,61.txt,key_completeness,The root of the result is not a dictionary.
character,falcon,yaml,65.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 16, column 1:
    ```
    ^"
character,falcon,yaml,72.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 3, column 5:
      - character:
        ^
expected <block end>, but found '-'
  in ""<unicode string>"", line 12, column 5:
        - character:
        ^"
