Here is the corrected YAML data:
```yaml
game:
  enemy:
    description: Description
    id: id
    name: Name
    stats:
      atk:atk int value
      def: def int value
      hp: hp int value
      mp: mp int value
      wd: wd int value
      sp: sp int value
      pr: pr int value
      p: p int value
      ip: ip int value
      ipv: ipv int value
      ipd: ipd int value
      ipw: ipw int value
      ipc: ipc int value
      ipp: ipp int value
      ipo: ipo int value
      ipx: ipx int value
      ipy: ipy int value
      ipz: ipz int value
      ipd: ipd int value
      ipw: ipw int value
```
