<?xml version="1.0" encoding="utf-8" xmlns="http://www.w3.org/2005/ns#">
<game>
  <enemy>
      <id>id</id>
      <name>name</name>
      <description>description</description>
      <stats>
        <hp>hp int value</hp>
        <mp>mp int value</mp>
        <atk>atk int value</atk>
        <def>def int value</def>
        <spd>spd int value</spd>
      </stats>
    </enemy>
      <!-- stats -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
      <!-- stat -->
