model,task,output_format,error_rate
llama3.1,character,xml,0
llama3.1,character,json,2
llama3.1,character,yaml,86
llama3.1,enemy,xml,0
llama3.1,enemy,json,4
llama3.1,enemy,yaml,4
llama3.1,dialogue,xml,2
llama3.1,dialogue,json,0
llama3.1,dialogue,yaml,32
llama3.1,quest,xml,6
llama3.1,quest,json,0
llama3.1,quest,yaml,6
llama3.1,story,xml,0
llama3.1,story,json,0
llama3.1,story,yaml,48
llama3.1-70b,character,xml,17
llama3.1-70b,character,json,0
llama3.1-70b,character,yaml,0
llama3.1-70b,enemy,xml,6
llama3.1-70b,enemy,json,0
llama3.1-70b,enemy,yaml,5
llama3.1-70b,dialogue,xml,0
llama3.1-70b,dialogue,json,0
llama3.1-70b,dialogue,yaml,9
llama3.1-70b,quest,xml,1
llama3.1-70b,quest,json,0
llama3.1-70b,quest,yaml,1
llama3.1-70b,story,xml,0
llama3.1-70b,story,json,0
llama3.1-70b,story,yaml,24
