

## Input

```json
{
    "name": "name",
    "gender": "gender",
    "race": "race",
    "species": "species",
    "age": "age",
    "role": "role",
    "background": "background story",
    "place_of_birth": "location",
    "physical_appearance": [{
        "eye_color": "eye color",
        "hair_color": "hair color",
        "height": "height in float value",
        "weight": "weight in float value"
    }]
}
```

## Example

```json
{
    "game": {
        "character": {
            "id": "id",
            "first_name": "first name",
            "last_name": "last name",
            "species": "species",
            "age": "exact age or description",
            "role": "role of the character",
            "background": "background story",
            "place_of_birth": "location",
            "physical_appearance": [{
                "eye_color": "eye color",
                "hair_color": "hair color",
                "height": "height in float value",
                "weight": "weight in float value"
            }]
        }
    }
}
```

## Explanation

This is a simple example of how to generate a character profile. The JSON structure is fairly simple and straightforward.

## Rules

* Do not use any of the following words in your answer:
    * "I"
    * "me"
    * "you"
    * "we"
    * "us"
    * "our"
    * "your"
    * "them"
    * "those"
    * "themself"
    * "themselves"
    * "their"
    * "yours"
    * "yourselves"
    * "theirs"
    * "itself"
    * "its"
    * "it"
    * "itselfs"
    * "itselves"
    * "its"
    * "it"
    * "him"
    * "her"
    * "he"
    * "she"
    * "himself"
    * "herself"
    * "himselfs"
    * "herselfs"
    * "himself"
    * "herself"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
    * "herselfs"
    * "himselfs"
