

## Challenge

# Input

* Input is a string with the name of the character.

## Output

* Output is a JSON object with the following fields:

* `game`

* `character`

* `id`

* `first_name`

* `last_name`

* `species`

* `age`

* `role`

* `background`

* `place_of_birth`

* `physical_appearance`

* `eye_color`

* `hair_color`

* `height`

* `weight`

## Example

* The input is "Luke Skywalker".

* The output is a JSON object with the following fields:

* `game`

* `character`

* `id`

* `first_name`

* `last_name`

* `species`

* `age`

* `role`

* `background`

* `place_of_birth`

* `physical_appearance`

* `eye_color`

* `hair_color`

* `height`

* `weight`

## Example

* The input is "Luke Skywalker".

* The output is a JSON object with the following fields:

* `game`

* `character`

* `id`

* `first_name`

* `last_name`

* `species`

* `age`

* `role`

* `background`

* `place_of_birth`

* `physical_appearance`

* `eye_color`

* `hair_color`

* `height`

* `weight`

## Example

* The input is "Luke Skywalker".

* The output is a JSON object with the following fields:

* `game`

* `character`

* `id`

* `first_name`

* `last_name`

* `species`

* `age`

* `role`

* `background`

* `place_of_birth`

* `physical_appearance`

* `eye_color`

* `hair_color`

* `height`

* `weight`

## Example

* The input is "Luke Skywalker".

* The output is a JSON object with the following fields:

* `game`

* `character`

* `id`

* `first_name`

* `last_name`

* `species`

* `age`

* `role`

* `background`

* `place_of_birth`

* `physical_appearance`

* `eye_color`

* `hair_color`

* `height`

* `weight`

## Example

* The input is "Luke Skywalker".

* The output is a JSON object with the following fields:

* `game`

* `character`

* `id`

* `first_name`

* `last_name`

* `species`

* `age`

* `role`

* `background`

* `place_of_birth`

* `physical_appearance`

* `eye_color`

* `hair_color`

* `height`

* `weight`

## Example

* The input is "Luke Skywalker".

* The output is a JSON object with the following fields:

* `game`

* `character`

* `id`

* `first_name`

* `last_name`

* `species`

* `age`

* `role`

* `background`

* `place_of_birth`

* `physical_appearance`

* `eye_color`

* `hair_color`

* `height`

* `weight`

## Example

* The input is "Luke Skywalker".

* The output is a JSON object with the following fields:

* `game`

* `character`

* `id`

* `first_name`

* `last_name`

* `species`

* `age`

* `role`

* `background`

* `place_of_birth`

* `physical_appearance`

* `eye_color`

* `hair_color`

