

### Examples

#### Example 1

```xml
<?xml version="1.0"?>
<game>
	<character>
		<id>id</id>
		<first-name>first name</first-name>
		<last-name>last name</last-name>
		<species>species</species>
		<age>exact age or description</age>
		<role>role of the character</role>
		<background>background story</background>
		<place-of-birth>location</place-of-birth>
		<physical-appearance>
			<physical-appearance>
				<eye-color>eye color</eye-color>
				<hair-color>hair color</hair-color>
				<height>height in float value</height>
				<weight>weight in float value</weight>
			</physical-appearance>
		</physical-appearance>
	</character>
</game>
```

#### Example 2

```xml
<?xml version="1.0"?>
<game>
	<character>
		<id>id</id>
		<first-name>first name</first-name>
		<last-name>last name</last-name>
		<species>species</species>
		<age>exact age or description</age>
		<role>role of the character</role>
		<background>background story</background>
		<place-of-birth>location</place-of-birth>
		<physical-appearance>
			<physical-appearance>
				<eye-color>eye color</eye-color>
				<hair-color>hair color</hair-color>
				<height>height in float value</height>
				<weight>weight in float value</weight>
			</physical-appearance>
		</physical-appearance>
	</character>
</game>
```

### Input format

The input format is a Markdown file.

### Output format

The output format is an XML file.

### Rules

* You must answer all questions.
* You must not use any unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
* You must not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
