

## Example

```xml
<?xml version="1.0"?>
<game>
	<character>
		<id>id</id>
		<first-name>first name</first-name>
		<last-name>last name</last-name>
		<species>species</species>
		<age>exact age or description</age>
		<role>role of the character</role>
		<background>background story</background>
		<place-of-birth>location</place-of-birth>
		<physical-appearance>
			<physical-appearance>
				<eye-color>eye color</eye-color>
				<hair-color>hair color</hair-color>
				<height>height in float value</height>
				<weight>weight in float value</weight>
			</physical-appearance>
		</physical-appearance>
	</character>
</game>
```

## Submission Requirements

- [ ] Write a program that generates a character profile.
- [ ] Return output in XML format and only the XML in the Markdown code block.
- [ ] XML.
- [ ] Use the [instructions](https://github.com/kushal-pandya/Star-Wars-RPG/blob/main/README.md) as a guide.
- [ ] Submit your code as a.zip file.
- [ ] Submit your code as a.zip file.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot of your code running.
- [ ] Submit a screenshot
