

### Examples

```yaml
game:
  character:
    age: 25
    background: "Sarah was born in the United States"
    first_name: "Sarah"
    id: "12345"
    last_name: "Smith"
    physical_appearance:
    - eye_color: "brown"
      hair_color: "brown"
      height: "5'5"
      weight: "110 lbs"
    place_of_birth: "New York City"
    role: "Fighter"
    species: "Human"
```

```yaml
game:
  character:
    age: 12
    background: "John was born in the United States"
    first_name: "John"
    id: "12345"
    last_name: "Smith"
    physical_appearance:
    - eye_color: "brown"
      hair_color: "brown"
      height: "5'5"
      weight: "110 lbs"
    place_of_birth: "New York City"
    role: "Fighter"
    species: "Human"
```

```yaml
game:
  character:
    age: 25
    background: "Sarah was born in the United States"
    first_name: "Sarah"
    id: "12345"
    last_name: "Smith"
    physical_appearance:
    - eye_color: "brown"
      hair_color: "brown"
      height: "5'5"
      weight: "110 lbs"
    place_of_birth: "New York City"
    role: "Fighter"
    species: "Human"
```

### Rules

* All answers should be in lowercase.
* The character's name should be capitalized.
* The character's name should not be in italics.
* The character's name should not be in bold.
* The character's name should not be in quotes.
* The character's name should not be in parentheses.
* The character's name should not be in brackets.
* The character's name should not be in square brackets.
* The character's name should not be in curly brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
* The character's name should not be in angle brackets.
