

## Input format
```json
{
    "game": {
        "dialogues": [{
            "order": "dialogue order",
            "speaker": "speaker name",
            "text": "dialogue or narration"
        }]
    }
}
``` [/INST]

## Example
```json
{
    "game": {
        "dialogues": [{
            "order": "dialogue order",
            "speaker": "speaker name",
            "text": "dialogue or narration"
        }]
    }
}
``` [/INST]

## Rules
- Do not use any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.
- Do not answer questions that are not factually correct.
- Do not answer questions that do not make sense.
- Do not answer questions that are not relevant to the game.
- Do not answer questions that are too long.
- Do not answer questions that are not in the correct format.
- Do not answer questions that are not in the correct language.
- Do not answer questions that are not in the correct style.
- Do not answer questions that are not in the correct tone.
- Do not answer questions that are not in the correct context.
- Do not answer questions that are not in the correct setting.
- Do not answer questions that are not in the correct mood.
- Do not answer questions that are not in the correct emotion.
- Do not answer questions that are not in the correct genre.
- Do not answer questions that are not in the correct style.
- Do not answer questions that are not in the correct tone.
- Do not answer questions that are not in the correct context.
- Do not answer questions that are not in the correct setting.
- Do not answer questions that are not in the correct mood.
- Do not answer questions that are not in the correct emotion.
- Do not answer questions that are not in the correct genre.
- Do not answer questions that are not in the correct style.
- Do not answer questions that are not in the correct tone.
- Do not answer questions that are not in the correct context.
- Do not answer questions that are not in the correct setting.
- Do not answer questions that are not in the correct mood.
- Do not answer questions that are not in the correct emotion.
- Do not answer questions that are not in the correct genre.
- Do not answer questions that are not in the correct style.
- Do not answer questions that are not in the correct tone.
- Do not answer questions that are not in the correct context.
- Do not answer questions that are not in the correct setting.
- Do not answer questions that are not in the correct mood.
- Do not answer questions that are not in the correct emotion.
- Do not answer questions that are not in the correct genre.
- Do not answer questions that are not in the correct style.
- Do not answer questions that are not in the correct tone.
- Do not answer questions that are not in the correct context.
- Do not answer questions that are not in the correct setting.
- Do not answer questions that are not in the correct mood.
- Do not answer questions that are not in the correct emotion.
- Do not answer questions that are not in the correct genre.
- Do not answer questions that are not in the correct style.
- Do not answer questions that are not in the correct tone.
- Do not answer questions that are not in the correct context.
- Do not answer questions that are not in the correct setting.
- Do not answer questions that are not in the correct mood.
- Do not answer questions that are not in the correct emotion.
- Do not answer questions that are not in the correct genre.
- Do not answer questions that are not in the correct style.
- Do not answer questions that are not in the correct tone.
- Do not answer questions that are not in the correct context.
- Do not answer questions that are not in the correct setting.
- Do not answer questions that are not in the correct mood.
- Do not answer questions that are not in the correct emotion.
- Do not answer questions that are not in the correct genre.
- Do not answer questions that are not in the correct style.
- Do not answer questions that are not in the correct tone.
- Do not answer questions that are not in the correct context.
- Do not answer questions that are not in the correct setting.
- Do not answer questions that are not in the correct mood.
- Do not answer questions that are not in the correct emotion.
- Do not answer questions that are not in the correct genre.
- Do not answer questions that are not in the correct style.
- Do not answer questions that are not in the correct tone.
- Do not answer questions that are not in the correct context.
- Do not answer questions that are not in the correct setting.
- Do not answer questions that are not in the correct mood.
- Do not answer questions that are not in the correct emotion.
- Do not answer questions that are not in the correct genre.
- Do not answer questions that are not in the correct style.
- Do not answer questions that are not in the correct tone.
- Do not answer questions that are not in the correct context.
- Do not answer questions that are not in the correct setting.
- Do not answer questions that are not in the correct mood.
- Do not answer questions that are not in the correct emotion.
- Do not answer questions that are not in the correct genre.
- Do not answer questions that are not in the correct style.
- Do not answer questions that are not in the correct tone.
