

## Examples

### Example 1

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 2

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 3

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 4

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 5

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 6

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 7

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 8

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 9

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 10

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 11

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 12

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 13

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 14

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 15

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 16

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 17

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 18

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 19

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 20

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 21

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 22

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 23

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 24

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 25

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 26

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 27

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 28

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 29

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 30

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 31

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 32

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 33

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 34

| Input | Output |
| ------ | ------ |
| ```<</SYS>>``` | ```{ "game": { "dialogues": [{ "order": "dialogue order", "speaker": "speaker name", "text": "dialogue or narration" }] } }``` |

### Example 35

| Input | Output |
| ------ | ------ |
