

## Input format
```
<game>
	<dialogues>
		<dialogue>
			<order>dialogue order</order>
			<speaker>speaker name</speaker>
			<text>dialogue or narration</text>
		</dialogue>
	</dialogues>
</game>
``` [/INST]

## Example
```
<game>
	<dialogues>
		<dialogue>
			<order>dialogue order</order>
			<speaker>speaker name</speaker>
			<text>dialogue or narration</text>
		</dialogue>
	</dialogues>
</game>
``` [/INST]

## Rules

### General rules

* A dialogue is a series of spoken lines or words.
* A dialogue must be preceded by the order of the dialogue.
* A dialogue must be followed by a speaker.
* A dialogue must be followed by a text.
* A dialogue must be followed by a new line.
* A dialogue must be followed by a new paragraph.
* A dialogue must be followed by a new dialogue.

### Dialogue order rules

* A dialogue order must be preceded by a new line.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
* A dialogue order must be followed by a new paragraph.
* A dialogue order must be followed by a new dialogue.
* A dialogue order must be followed by a new line.
