

### Instructions

- Create a dialogue.
- Each dialogue should have a unique order.
- Each dialogue should have a unique speaker.
- Each dialogue should have a unique text.
- You can have multiple dialogues.
- Each dialogue should be a paragraph.
- Each dialogue should have a unique speaker.
- Each dialogue should have a unique text.
- You can have multiple dialogues.

### Examples

- [Examples](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/examples)

### Markdown

- [Markdown](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/markdown)

### Output

- [Output](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/output)

### Input

- [Input](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/input)

### Questions

- [Questions](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/questions)

### Rules

- [Rules](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/rules)

### Requirements

- [Requirements](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/requirements)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

- [Tests](https://github.com/m-k-shah/NLP-Dialogue-Generation-Project/tree/master/tests)

### Tests

