

# Input format
```
<game>
	<dialogues>
		<dialogue>
			<order>dialogue order</order>
			<speaker>speaker name</speaker>
			<text>dialogue or narration</text>
		</dialogue>
	</dialogues>
</game>
``` [/INST]

# Rules
1. The dialogue order must be a number.
2. The speaker must be a name.
3. The text must be a string.
4. The dialogue must be a string.
5. The dialogue must be a string.
6. The dialogue must be a string.
7. The dialogue must be a string.
8. The dialogue must be a string.
9. The dialogue must be a string.
10. The dialogue must be a string.
11. The dialogue must be a string.
12. The dialogue must be a string.
13. The dialogue must be a string.
14. The dialogue must be a string.
15. The dialogue must be a string.
16. The dialogue must be a string.
17. The dialogue must be a string.
18. The dialogue must be a string.
19. The dialogue must be a string.
20. The dialogue must be a string.
21. The dialogue must be a string.
22. The dialogue must be a string.
23. The dialogue must be a string.
24. The dialogue must be a string.
25. The dialogue must be a string.
26. The dialogue must be a string.
27. The dialogue must be a string.
28. The dialogue must be a string.
29. The dialogue must be a string.
30. The dialogue must be a string.
31. The dialogue must be a string.
32. The dialogue must be a string.
33. The dialogue must be a string.
34. The dialogue must be a string.
35. The dialogue must be a string.
36. The dialogue must be a string.
37. The dialogue must be a string.
38. The dialogue must be a string.
39. The dialogue must be a string.
40. The dialogue must be a string.
41. The dialogue must be a string.
42. The dialogue must be a string.
43. The dialogue must be a string.
44. The dialogue must be a string.
45. The dialogue must be a string.
46. The dialogue must be a string.
47. The dialogue must be a string.
48. The dialogue must be a string.
49. The dialogue must be a string.
50. The dialogue must be a string.
51. The dialogue must be a string.
52. The dialogue must be a string.
53. The dialogue must be a string.
54. The dialogue must be a string.
55. The dialogue must be a string.
56. The dialogue must be a string.
57. The dialogue must be a string.
58. The dialogue must be a string.
59. The dialogue must be a string.
60. The dialogue must be a string.
61. The dialogue must be a string.
62. The dialogue must be a string.
63. The dialogue must be a string.
64. The dialogue must be a string.
65. The dialogue must be a string.
66. The dialogue must be a string.
67. The dialogue must be a string.
68. The dialogue must be a string.
69. The dialogue must be a string.
70. The dialogue must be a string.
71. The dialogue must be a string.
72. The dialogue must be a string.
73. The dialogue must be a string.
74. The dialogue must be a string.
75. The dialogue must be a string.
76. The dialogue must be a string.
77. The dialogue must be a string.
78. The dialogue must be a string.
79. The dialogue must be a string.
80. The dialogue must be a string.
81. The dialogue must be a string.
82. The dialogue must be a string.
83. The dialogue must be a string.
84. The dialogue must be a string.
85. The dialogue must be a string.
86. The dialogue must be a string.
87. The dialogue must be a string.
88. The dialogue must be a string.
89. The dialogue must be a string.
90. The dialogue must be a string.
91. The dialogue must be a string.
92. The dialogue must be a string.
93. The dialogue must be a string.
94. The dialogue must be a string.
95. The dialogue must be a string.
96. The dialogue must be a string.
97. The dialogue must be a string.
98. The dialogue must be a string.
99. The dialogue must be a string.
100. The dialogue must be a string.
101. The dialogue must be a string.
102. The dialogue must be a string.
103. The dialogue must be a string.
104. The dialogue must be a string.
105. The dialogue must be a string.
106. The dialogue must be a string.
107. The dialogue must be a string.
108. The dialogue must be a string.
109. The dialogue must be a string.
110. The dialogue must be a string.
111. The dialogue must be a string.
112. The dialogue must be a string.
113. The dialogue must be a string.
114. The dialogue must be a string.
115. The dialogue must be a string.
116. The dialogue must be a string.
117. The dialogue must be a string.
118. The dialogue must be a string.
119. The dialogue must be a string.
120. The dialogue must be a string.
121. The dialogue must be a string.
122. The dialogue must be a string.
123. The dialogue must be a string.
124. The dialogue must be a string.
125. The dialogue must be a string.
126. The dialogue must be a string.
127. The dialogue must be a string.
