

## Example

```yaml
game:
  dialogues:
  - order: dialogue order
    speaker: speaker name
    text: dialogue or narration
```

## Rules

* 1. Only one output per Markdown code block.
* 2. No more than 20 lines of output.
* 3. Output must be in YAML format.
* 4. Output must be in a single file.
* 5. Output must be in the correct format.
* 6. Output must be in the correct order.
* 7. Output must be in the correct language.
* 8. Output must be in the correct format.
* 9. Output must be in the correct format.
* 10. Output must be in the correct format.
* 11. Output must be in the correct format.
* 12. Output must be in the correct format.
* 13. Output must be in the correct format.
* 14. Output must be in the correct format.
* 15. Output must be in the correct format.
* 16. Output must be in the correct format.
* 17. Output must be in the correct format.
* 18. Output must be in the correct format.
* 19. Output must be in the correct format.
* 20. Output must be in the correct format.
* 21. Output must be in the correct format.
* 22. Output must be in the correct format.
* 23. Output must be in the correct format.
* 24. Output must be in the correct format.
* 25. Output must be in the correct format.
* 26. Output must be in the correct format.
* 27. Output must be in the correct format.
* 28. Output must be in the correct format.
* 29. Output must be in the correct format.
* 30. Output must be in the correct format.
* 31. Output must be in the correct format.
* 32. Output must be in the correct format.
* 33. Output must be in the correct format.
* 34. Output must be in the correct format.
* 35. Output must be in the correct format.
* 36. Output must be in the correct format.
* 37. Output must be in the correct format.
* 38. Output must be in the correct format.
* 39. Output must be in the correct format.
* 40. Output must be in the correct format.
* 41. Output must be in the correct format.
* 42. Output must be in the correct format.
* 43. Output must be in the correct format.
* 44. Output must be in the correct format.
* 45. Output must be in the correct format.
* 46. Output must be in the correct format.
* 47. Output must be in the correct format.
* 48. Output must be in the correct format.
* 49. Output must be in the correct format.
* 50. Output must be in the correct format.
* 51. Output must be in the correct format.
* 52. Output must be in the correct format.
* 53. Output must be in the correct format.
* 54. Output must be in the correct format.
* 55. Output must be in the correct format.
* 56. Output must be in the correct format.
* 57. Output must be in the correct format.
* 58. Output must be in the correct format.
* 59. Output must be in the correct format.
* 60. Output must be in the correct format.
* 61. Output must be in the correct format.
* 62. Output must be in the correct format.
* 63. Output must be in the correct format.
* 64. Output must be in the correct format.
* 65. Output must be in the correct format.
* 66. Output must be in the correct format.
* 67. Output must be in the correct format.
* 68. Output must be in the correct format.
* 69. Output must be in the correct format.
* 70. Output must be in the correct format.
* 71. Output must be in the correct format.
* 72. Output must be in the correct format.
* 73. Output must be in the correct format.
* 74. Output must be in the correct format.
* 75. Output must be in the correct format.
* 76. Output must be in the correct format.
* 77. Output must be in the correct format.
* 78. Output must be in the correct format.
* 79. Output must be in the correct format.
* 80. Output must be in the correct format.
* 81. Output must be in the correct format.
* 82. Output must be in the correct format.
* 83. Output must be in the correct format.
* 84. Output must be in the correct format.
* 85. Output must be in the correct format.
* 86. Output must be in the correct format.
* 87. Output must be in the correct format.
* 88. Output must be in the correct format.
* 89. Output must be in the correct format.
* 90. Output must be in the correct format.
* 91. Output must be in the correct format.
* 92. Output must be in the correct format.
* 93. Output must be in the correct format.
* 94. Output must be in the correct format.
* 95. Output must be in the correct format.
* 96. Output must be in the correct format.
* 97. Output must be in the correct format.
* 98. Output must be in the correct format.
* 99. Output must be in the correct format.
* 100. Output must be in the correct format.
* 101. Output must be in the correct format.
* 102. Output must be in the correct format.
* 103. Output must be in the correct format.
* 104. Output must be in the correct format.
* 105. Output must be in the correct format.
* 106. Output must be in the correct format.
* 107. Output must be in the correct format.
* 108. Output must be in the correct format.
* 109. Output must be in the correct format.
* 110. Output must be in the correct format.
* 111. Output must be in the correct format.
* 112. Output must be in the correct format.
* 113. Output must be in the correct format.
* 114. Output must be in the correct format.
* 115. Output must be in the correct format.
* 116. Output must be in the correct format.
* 117. Output must be in the correct format.
* 118. Output must be in the correct format.
* 119. Output must be in the correct format.
* 120. Output must be in the correct format.
* 121. Output must be in the correct format.
* 122. Output must be in the correct format.
* 123. Output must be in the correct format.
* 124. Output must be in the correct format.
* 125. Output must be in the correct format.
* 126. Output must be in the correct format.
* 127. Output must be in the correct format.
* 128. Output must be in the correct format.
* 129. Output must be in the correct format.
* 130. Output must be in the correct format.
* 131. Output must be in the correct format.
* 132. Output must be in the correct format.
* 133. Output must be in the correct format.
* 134. Output must be in the correct format.
* 135. Output must be in the correct format.
* 136. Output must be in the correct format.
* 137. Output must be in the correct format.
* 138. Output must be in the correct format.
* 139. Output must be in the correct format.
* 140. Output must be in the correct format.
* 141. Output must be in the correct format.
* 142. Output must be in the correct format.
* 143. Output must be in the correct format.
* 144. Output must be in the correct format.
* 145. Output must be in the correct format.
* 146. Output must be in the correct format.
* 147. Output must be in the correct format.
* 148. Output must be in the correct format.
* 149. Output must be in the correct format.
* 150. Output must be in the correct format.
* 151. Output must be in the correct format.
* 152. Output must be in the correct format.
* 153. Output must be in the correct format.
* 154. Output must be in the correct format.
* 155. Output must be in the correct format.
* 156. Output must be in the correct format.
* 157. Output must be in the correct format.
* 158. Output must be in the correct format.
* 159. Output must be in the correct format.
* 160. Output must be in the correct format.
* 161. Output must be in the correct format.
* 162. Output must be in the correct format.
* 163. Output must be in the correct format.
* 164. Output must be in the correct format.
* 165. Output must be in the correct format.
* 166. Output must be in the correct format.
* 167. Output must be in the correct format.
* 168. Output must be in the correct format.
* 169. Output must be in the correct format.
* 170. Output must be in the correct format.
* 171. Output must be in the correct format.
* 172. Output must be in the correct format.
* 173. Output must be in the correct format.
* 174. Output must be in the correct format.
* 175. Output must be in the correct format.
* 176. Output must be in the correct format.
* 177. Output must be in the correct format.
* 178. Output must be in the correct format.
* 179. Output must be in the correct format.
* 180. Output must be in the correct format.
* 181. Output must be in the correct format.
