

## Examples

### Example 1

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 2

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 3

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 4

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 5

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 6

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 7

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 8

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 9

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 10

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 11

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 12

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 13

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 14

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 15

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 16

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 17

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 18

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 19

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 20

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 21

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 22

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 23

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 24

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 25

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 26

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 27

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 28

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 29

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 30

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 31

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 32

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 33

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 34

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 35

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 36

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 37

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 38

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 39

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 40

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 41

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 42

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 43

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 44

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 45

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 46

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 47

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 48

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 49

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 50

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 51

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 52

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 53

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 54

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 55

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 56

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 57

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 58

| Input | Output |
| :---: | :---: |
| <<SYS>> | <</SYS>> |

### Example 59

| Input | Output |
