

## Inputs

### game

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| game | [Game](#game) | Yes |  | Game object |

### game.enemy

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| enemy | [Enemy](#enemy) | Yes |  | Enemy object |

### enemy.id

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| id | [String](#string) | Yes |  | Enemy ID |

### enemy.name

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| name | [String](#string) | Yes |  | Enemy name |

### enemy.description

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| description | [String](#string) | Yes |  | Enemy description |

### enemy.stats

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| stats | [Stats](#stats) | Yes |  | Enemy stats |

### enemy.stats.hp

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| hp | [Int](#int) | Yes |  | Enemy HP |

### enemy.stats.mp

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| mp | [Int](#int) | Yes |  | Enemy MP |

### enemy.stats.atk

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| atk | [Int](#int) | Yes |  | Enemy ATK |

### enemy.stats.def

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| def | [Int](#int) | Yes |  | Enemy DEF |

### enemy.stats.spd

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| spd | [Int](#int) | Yes |  | Enemy SPD |

## Game

### game.enemy

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| enemy | [Enemy](#enemy) | Yes |  | Enemy object |

### game.enemy.id

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| id | [String](#string) | Yes |  | Enemy ID |

### game.enemy.name

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| name | [String](#string) | Yes |  | Enemy name |

### game.enemy.description

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| description | [String](#string) | Yes |  | Enemy description |

### game.enemy.stats

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| stats | [Stats](#stats) | Yes |  | Enemy stats |

### game.enemy.stats.hp

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| hp | [Int](#int) | Yes |  | Enemy HP |

### game.enemy.stats.mp

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| mp | [Int](#int) | Yes |  | Enemy MP |

### game.enemy.stats.atk

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| atk | [Int](#int) | Yes |  | Enemy ATK |

### game.enemy.stats.def

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| def | [Int](#int) | Yes |  | Enemy DEF |

### game.enemy.stats.spd

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| spd | [Int](#int) | Yes |  | Enemy SPD |

## Enemy

### enemy.id

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| id | [String](#string) | Yes |  | Enemy ID |

### enemy.name

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| name | [String](#string) | Yes |  | Enemy name |

### enemy.description

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| description | [String](#string) | Yes |  | Enemy description |

### enemy.stats

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| stats | [Stats](#stats) | Yes |  | Enemy stats |

### enemy.stats.hp

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| hp | [Int](#int) | Yes |  | Enemy HP |

### enemy.stats.mp

| Parameter | Type | Required | Default | Description |
| :--- | :--- | :--- | :--- | :--- |
| mp | [Int](#int) | Yes |  | Enemy MP |

### enemy.stats.atk

| Parameter | Type | Required | Default | Description |
