

# Example
```yaml
game:
  enemy:
    description: A description of the enemy
    id: 123456
    name: Enemy
    stats:
      atk: 100
      def: 100
      hp: 100
      mp: 100
      spd: 100
```

# Input
```yaml
game:
  enemy:
    description: A description of the enemy
    id: 123456
    name: Enemy
    stats:
      atk: 100
      def: 100
      hp: 100
      mp: 100
      spd: 100
```

# Rules

* You must use YAML as the output format.
* You must return the YAML in the Markdown code block.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
* You must use the Markdown code block to return the YAML.
