

# Example

```yaml
game:
  enemy:
    description: "This is the description of the enemy"
    id: "enemyId"
    name: "Enemy Name"
    stats:
      atk: 100
      def: 50
      hp: 100
      mp: 50
      spd: 20
```

# Input

```yaml
game:
  enemy:
    description: "This is the description of the enemy"
    id: "enemyId"
    name: "Enemy Name"
    stats:
      atk: 100
      def: 50
      hp: 100
      mp: 50
      spd: 20
```

# Hint

- [YAML](https://yaml.org/)
- [YAML.js](https://github.com/yamljs/yamljs)

# Test

```yaml
game:
  enemy:
    description: "This is the description of the enemy"
    id: "enemyId"
    name: "Enemy Name"
    stats:
      atk: 100
      def: 50
      hp: 100
      mp: 50
      spd: 20
```

# Notes

- This is a code challenge.
- This is not a project.
- This is not a tutorial.
- This is not a course.
- This is not a class.
- This is not a learning platform.
- This is not a school.
- This is not a university.
- This is not a degree.
- This is not a diploma.
- This is not a certification.
- This is not a qualification.
- This is not a certificate.
- This is not a transcript.
- This is not a resume.
- This is not a CV.
- This is not a portfolio.
- This is not a blog.
- This is not a vlog.
- This is not a podcast.
- This is not a channel.
- This is not a stream.
- This is not a live.
- This is not a broadcast.
- This is not a show.
- This is not a conference.
- This is not a meetup.
- This is not a seminar.
- This is not a webinar.
- This is not a workshop.
- This is not a talk.
- This is not a speech.
- This is not a presentation.
- This is not a lecture.
- This is not a classroom.
- This is not a class.
- This is not a lecture hall.
- This is not a seminar room.
- This is not a conference room.
- This is not a meeting room.
- This is not a boardroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
- This is not a classroom.
