

# Examples

## 1. Generate a battle status with the following attributes

| attribute | value |
| --------- | ----- |
| game      | battle |
| enemy     | 1      |
| description | description |
| id         | 1       |
| name       | name     |
| stats      | stats    |
| atk        | 1        |
| def        | 1        |
| hp         | 1        |
| mp         | 1        |
| spd        | 1        |

## 2. Generate a battle status with the following attributes

| attribute | value |
| --------- | ----- |
| game      | battle |
| enemy     | 1      |
| description | description |
| id         | 1       |
| name       | name     |
| stats      | stats    |
| atk        | 1        |
| def        | 1        |
| hp         | 1        |
| mp         | 1        |
| spd        | 1        |

## 3. Generate a battle status with the following attributes

| attribute | value |
| --------- | ----- |
| game      | battle |
| enemy     | 1      |
| description | description |
| id         | 1       |
| name       | name     |
| stats      | stats    |
| atk        | 1        |
| def        | 1        |
| hp         | 1        |
| mp         | 1        |
| spd        | 1        |

## 4. Generate a battle status with the following attributes

| attribute | value |
| --------- | ----- |
| game      | battle |
| enemy     | 1      |
| description | description |
| id         | 1       |
| name       | name     |
| stats      | stats    |
| atk        | 1        |
| def        | 1        |
| hp         | 1        |
| mp         | 1        |
| spd        | 1        |

## 5. Generate a battle status with the following attributes

| attribute | value |
| --------- | ----- |
| game      | battle |
| enemy     | 1      |
| description | description |
| id         | 1       |
| name       | name     |
| stats      | stats    |
| atk        | 1        |
| def        | 1        |
| hp         | 1        |
| mp         | 1        |
| spd        | 1        |

## 6. Generate a battle status with the following attributes

| attribute | value |
| --------- | ----- |
| game      | battle |
| enemy     | 1      |
| description | description |
| id         | 1       |
| name       | name     |
| stats      | stats    |
| atk        | 1        |
| def        | 1        |
| hp         | 1        |
| mp         | 1        |
| spd        | 1        |

## 7. Generate a battle status with the following attributes

| attribute | value |
| --------- | ----- |
| game      | battle |
| enemy     | 1      |
| description | description |
| id         | 1       |
| name       | name     |
| stats      | stats    |
| atk        | 1        |
| def        | 1        |
| hp         | 1        |
| mp         | 1        |
| spd        | 1        |

## 8. Generate a battle status with the following attributes

| attribute | value |
| --------- | ----- |
| game      | battle |
| enemy     | 1      |
| description | description |
| id         | 1       |
| name       | name     |
| stats      | stats    |
| atk        | 1        |
| def        | 1        |
| hp         | 1        |
| mp         | 1        |
| spd        | 1        |

## 9. Generate a battle status with the following attributes

| attribute | value |
| --------- | ----- |
| game      | battle |
| enemy     | 1      |
| description | description |
| id         | 1       |
| name       | name     |
| stats      | stats    |
| atk        | 1        |
| def        | 1        |
| hp         | 1        |
| mp         | 1        |
| spd        | 1        |

## 10. Generate a battle status with the following attributes

| attribute | value |
| --------- | ----- |
| game      | battle |
| enemy     | 1      |
| description | description |
| id         | 1       |
| name       | name     |
| stats      | stats    |
| atk        | 1        |
| def        | 1        |
| hp         | 1        |
| mp         | 1        |
| spd        | 1        |

## 11. Generate a battle status with the following attributes

| attribute | value |
| --------- | ----- |
| game      | battle |
| enemy     | 1      |
| description | description |
| id         | 1       |
| name       | name     |
| stats      | stats    |
| atk        | 1        |
| def        | 1        |
| hp         | 1        |
| mp         | 1        |
| spd        | 1        |

## 12. Generate a battle status with the following attributes

