

## Inputs

### Quest ID

The quest ID.

### Game ID

The game ID.

### Quest title

The quest title.

### Quest objective

The quest objective.

### Quest description

The quest description.

### Quest reward

The quest reward.

### Quest giver

The quest giver.

### Tasks

The tasks.

### Task order

The task order.

### Task objective

The task objective.

### Task description

The task description.

### Task location

The task location.

### Game title

The game title.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

### Game difficulty

The game difficulty.

### Game level

The game level.

### Game type

The game type.

### Game description

The game description.

### Game reward

The game reward.

### Game giver

The game giver.

### Game objective

The game objective.

