

## Example

```yaml
game:
  description: A Quest for a Hero
  id: 1
  objective: Save the world
  quest_giver: The King
  reward: A Hero
  tasks:
  - description: Find the Dragon
    location: The Dragon's Lair
    objective: Kill the Dragon
    order: 1
  - description: Find the Princess
    location: The Princess's Castle
    objective: Save the Princess
    order: 2
  - description: Find the Sword
    location: The Smith's Forge
    objective: Get the Sword
    order: 3
  title: A Quest for a Hero
```

## Rules

* Return the output in YAML format
* Only YAML in the Markdown code block
* The output should be in YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
* The output should be in the YAML format
