

## Input format

### Example

```yaml
game:
  description: quest description
  id: id
  objective: quest objective
  quest_giver: quest giver
  reward: quest reward
  tasks:
  - description: task description
    location: task location
    objective: task objective
    order: task order
  title: quest title
```

### Required

| Field name | Type | Description |
| ---------- | ---- | ----------- |
| game | object | Game information |
| game.description | string | Game description |
| game.id | string | Game ID |
| game.objective | string | Game objective |
| game.quest_giver | object | Quest giver information |
| game.quest_giver.description | string | Quest giver description |
| game.quest_giver.id | string | Quest giver ID |
| game.quest_giver.objective | string | Quest giver objective |
| game.quest_giver.reward | string | Quest giver reward |
| game.quest_giver.title | string | Quest giver title |
| game.quest_giver.tasks | array | Quest giver tasks |
| game.quest_giver.tasks.description | string | Task description |
| game.quest_giver.tasks.location | string | Task location |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks.reward | string | Task reward |
| game.quest_giver.tasks.title | string | Task title |
| game.quest_giver.tasks.order | string | Task order |
| game.quest_giver.tasks.objective | string | Task objective |
| game.quest_giver.tasks
