

## Examples

### Example 1
```
[INST] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>

[/SYS] <<SYS>>

[SYS] <<SYS>>
