

## Input Format

### Game Title

The title of the game.

### Game Synopsis

The game story synopsis.

### Game Beginning

The beginning of the game.

### Game Ending

The ending of the game.

### Game Genre

The game genre.

### Game Platform

The game platform.

### Game Release Date

The game release date.

### Game Rating

The game rating.

### Game Tags

The game tags.

### Game Description

The game description.

### Game Characters

The game characters.

### Game Themes

The game themes.

### Game Features

The game features.

### Game Gameplay

The game gameplay.

### Game Mechanics

The game mechanics.

### Game Protagonist

The game protagonist.

### Game Antagonist

The game antagonist.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

### Game Setting

The game setting.

