

### Example
```
{
    "game": {
        "title": "game title",
        "synopsis": "game story synopsis",
        "beginning": "the beginning of the game",
        "ending": "the ending of the game"
    }
}
```

### Input
```
game title
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
