

## Example
```json
{
    "game": {
        "title": "A game",
        "synopsis": "A game synopsis",
        "beginning": "A game beginning",
        "ending": "A game ending"
    }
}
```

## Notes

* This is a very simple example, but the output format is valid JSON.
* The input and output formats are not very strict, but please try to make the input and output as similar as possible.
* You can use any format you want, but please make sure that the output format is valid JSON.
* Please do not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.

## Tests

| Input | Output |
| --- | --- |
| "Hello" | { "game": { "title": "Hello", "synopsis": "Hello", "beginning": "Hello", "ending": "Hello" } } |
| "Hello" | { "game": { "title": "Hello", "synopsis": "Hello", "beginning": "Hello", "ending": "Hello" } } |
| "Hello" | { "game": { "title": "Hello", "synopsis": "Hello", "beginning": "Hello", "ending": "Hello" } } |
| "Hello" | { "game": { "title": "Hello", "synopsis": "Hello", "beginning": "Hello", "ending": "Hello" } } |
| "Hello" | { "game": { "title": "Hello", "synopsis": "Hello", "beginning": "Hello", "ending": "Hello" } } |
| "Hello" | { "game": { "title": "Hello", "synopsis": "Hello", "beginning": "Hello", "ending": "Hello" } } |
| "Hello" | { "game": { "title": "Hello", "synopsis": "Hello", "beginning": "Hello", "ending": "Hello" } } |
| "Hello" | { "game": { "title": "Hello", "synopsis": "Hello", "beginning": "Hello", "ending": "Hello" } } |
| "Hello" | { "game": { "title": "Hello", "synopsis": "Hello", "beginning": "Hello", "ending": "Hello" } } |
| "Hello" | { "game": { "title": "Hello", "synopsis": "Hello", "beginning": "Hello", "ending": "Hello" } } |
| "Hello" | { "game": { "title": "Hello", "synopsis": "Hello", "beginning": "Hello", "ending": "Hello" } } |
| "Hello" | { "game": { "title": "Hello", "synopsis": "Hello", "beginning": "Hello", "ending": "Hello" } } |
| "Hello" | { "game": { "title": "Hello", "synopsis": "Hello", "beginning": "Hello", "ending": "Hello" } } |
| "Hello" | { "game": { "title": "Hello", "synopsis": "Hello", "beginning": "Hello", "ending": "Hello" } } |
| "Hello" | { "game": { "title": "Hello", "synopsis": "Hello", "beginning": "Hello", "ending": "Hello" } } |
| "Hello" | { "game": { "title": "Hello", "synopsis": "Hello", "beginning": "Hello", "ending": "Hello" } } |
