

## Input format

### Example

```
<game>
	<title>game title</title>
	<synopsis>game story synopsis</synopsis>
	<beginning>the beginning of the game</beginning>
	<ending>the ending of the game</ending>
</game>
```

### Specification

* All elements are required.
* Elements may be in any order.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
* Elements may contain any number of sub-elements.
