

### Example
```yaml
game:
  beginning: the beginning of the game
  ending: the ending of the game
  synopsis: game story synopsis
  title: game title
```

### Notes
* Please ensure that your responses are socially unbiased and positive in nature.
* If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct.
* If you don't know the answer to a question, please don't share false information.
* Please answer the question as if you were the game developer.
* Please answer the question as if you were the game player.
* Please answer the question as if you were the game designer.
* Please answer the question as if you were the game publisher.
* Please answer the question as if you were the game tester.
* Please answer the question as if you were the game developer's boss.
* Please answer the question as if you were the game player's boss.
* Please answer the question as if you were the game designer's boss.
* Please answer the question as if you were the game publisher's boss.
* Please answer the question as if you were the game tester's boss.
* Please answer the question as if you were the game developer's customer.
* Please answer the question as if you were the game player's customer.
* Please answer the question as if you were the game designer's customer.
* Please answer the question as if you were the game publisher's customer.
* Please answer the question as if you were the game tester's customer.
* Please answer the question as if you were the game developer's competitor.
* Please answer the question as if you were the game player's competitor.
* Please answer the question as if you were the game designer's competitor.
* Please answer the question as if you were the game publisher's competitor.
* Please answer the question as if you were the game tester's competitor.
* Please answer the question as if you were the game developer's employee.
* Please answer the question as if you were the game player's employee.
* Please answer the question as if you were the game designer's employee.
* Please answer the question as if you were the game publisher's employee.
* Please answer the question as if you were the game tester's employee.
* Please answer the question as if you were the game developer's customer.
* Please answer the question as if you were the game player's customer.
* Please answer the question as if you were the game designer's customer.
* Please answer the question as if you were the game publisher's customer.
* Please answer the question as if you were the game tester's customer.
* Please answer the question as if you were the game developer's competitor.
* Please answer the question as if you were the game player's competitor.
* Please answer the question as if you were the game designer's competitor.
* Please answer the question as if you were the game publisher's competitor.
* Please answer the question as if you were the game tester's competitor.
* Please answer the question as if you were the game developer's employee.
* Please answer the question as if you were the game player's employee.
* Please answer the question as if you were the game designer's employee.
* Please answer the question as if you were the game publisher's employee.
* Please answer the question as if you were the game tester's employee.
* Please answer the question as if you were the game developer's customer.
* Please answer the question as if you were the game player's customer.
* Please answer the question as if you were the game designer's customer.
* Please answer the question as if you were the game publisher's customer.
* Please answer the question as if you were the game tester's customer.
* Please answer the question as if you were the game developer's competitor.
* Please answer the question as if you were the game player's competitor.
* Please answer the question as if you were the game designer's competitor.
* Please answer the question as if you were the game publisher's competitor.
* Please answer the question as if you were the game tester's competitor.
* Please answer the question as if you were the game developer's employee.
* Please answer the question as if you were the game player's employee.
* Please answer the question as if you were the game designer's employee.
* Please answer the question as if you were the game publisher's employee.
* Please answer the question as if you were the game tester's employee.
* Please answer the question as if you were the game developer's customer.
* Please answer the question as if you were the game player's customer.
* Please answer the question as if you were the game designer's customer.
* Please answer the question as if you were the game publisher's customer.
* Please answer the question as if you were the game tester's customer.
* Please answer the question as if you were the game developer's competitor.
* Please answer the question as if you were the game player's competitor.
* Please answer the question as if you were the game designer's competitor.
* Please answer the question as if you were the game publisher's competitor.
* Please answer the question as if you were the game tester's competitor.
* Please answer the question as if you were the game developer's employee.
* Please answer the question as if you were the game player's employee.
* Please answer the question as if you were the game designer's employee.
* Please answer the question as if you were the game publisher's employee.
* Please answer the question as if you were the game tester's employee.
* Please answer the question as if you were the game developer's customer.
* Please answer the question as if you were the game player's customer.
* Please answer the question as if you were the game designer's customer.
* Please answer the question as if you were the game publisher's customer.
* Please answer the question as if you were the game tester's customer.
* Please answer the question as if you were the game developer's competitor.
* Please answer the question as if you were the game player's competitor.
* Please answer the question as if you were the game designer's competitor.
* Please answer the question as if you were the game publisher's competitor.
* Please answer the question as if you were the game tester's competitor.
* Please answer the question as if you were the game developer's employee.
* Please answer the question as if you were the game player's employee.
* Please answer the question as if you were the game designer's employee.
* Please answer the question as if you were the game publisher's employee.
* Please answer the question as if you were the game tester's employee.
* Please answer the question as if you were the game developer's customer.
* Please answer the question as if you were the game player's customer.
* Please answer the question as if you were the game designer's customer.
* Please answer the question as if you were the game publisher's customer.
* Please answer the question as if you were the game tester's customer.
* Please answer the question as if you were the game developer's competitor.
* Please answer the question as if you were the game player's competitor.
* Please answer the question as if you were the game designer's competitor.
* Please answer the question as if you were the game publisher's competitor.
* Please answer the question as if you were the game tester's competitor.
* Please answer the question as if you were the game developer's employee.
* Please answer the question as if you were the game player's employee.
* Please answer the question as if you were the game designer's employee.
* Please answer the question as if you were the game publisher's employee.
* Please answer the question as if you were the game tester's employee.
* Please answer the question as if you were the game developer's customer.
* Please answer the question as if you were the game player's customer.
* Please answer the question as if you were the game designer's customer.
* Please answer the question as if you were the game publisher's customer.
* Please answer the question as if you were the game tester's customer.
* Please answer the question as if you were the game developer's competitor.
* Please answer the question as if you were the game player's competitor.
* Please answer the question as if you were the game designer's competitor.
* Please answer the question as if you were the game publisher's competitor.
* Please answer the question as if you were the game tester's competitor.
* Please answer the question as if you were the game developer's employee.
* Please answer the question as if you were the game player's employee.
* Please answer the question as if you were the game designer's employee.
* Please answer the question as if you were the game publisher's employee.
* Please answer the question as if you were the game tester's employee.
* Please answer the question as if you were the game developer's customer.
* Please answer the question as if you were the game player's customer.
* Please answer the question as if you were the game designer's customer.
* Please answer the question as if you were the game publisher's customer.
* Please answer the question as if you were the game tester's customer.
* Please answer the question as if you were the game developer's competitor.
* Please answer the question as if you were the game player's competitor.
* Please answer the question as if you were the game designer's competitor.
* Please answer the question as if you were the game publisher's competitor.
* Please answer the question as if you were the game tester's competitor.
* Please answer the question as if you were the game developer's employee.
* Please answer the question as if you were the game player's employee.
* Please answer the question as if you were the game designer's employee.
* Please answer the question as if you were the game publisher's employee.
* Please answer the question as if you were the game tester's employee.
* Please answer the question as if you were the game developer's customer.
* Please answer the question as if you were the game player's customer.
* Please answer the question as if you were the game designer's customer.
* Please answer the question as if you were the game publisher's customer.
* Please answer the question as if you were the game tester's customer.
* Please answer the question as if you were the game developer's competitor.
* Please answer the question as if you were the game player's competitor.
* Please answer the question as if you were the game designer's competitor.
* Please answer the question as if you were the game publisher's competitor.
* Please answer the question as if you were the game tester's competitor.
* Please answer the question as if you were the game developer's employee.
* Please answer the question as if you were the game player's employee.
* Please answer the question as if you were the game designer's employee.
* Please answer the question as if you were the game publisher's employee.
* Please answer the question as if you were the game tester's employee.
