

# Input format
```
<game>
	<dialogues>
		<dialogue>
			<order>dialogue order</order>
			<speaker>speaker name</speaker>
			<text>dialogue or narration</text>
		</dialogue>
	</dialogues>
</game>
``` [/INST]

# Rules
- You must use the Markdown code block for the output.
- You must use the Markdown code block for the input.
- The input and output must be in the same language.
- You must not use any external libraries or frameworks.
- You must not use any external data sources.
- You must not use any external files.
- You must not use any external services.
- You must not use any external APIs.
- You must not use any external web sites.
- You must not use any external databases.
- You must not use any external devices.
- You must not use any external networks.
- You must not use any external platforms.
- You must not use any external frameworks.
- You must not use any external tools.
- You must not use any external libraries.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
- You must not use any external programming languages.
- You must not use any external programming environments.
